DATE DE CLASSEMENT,TYPE D'HÉBERGEMENT,STAR,NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,WEBSITE,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,Email_Primary,Email_Additional,Country,Phone_Primary,Phone_Additional,Website_Status,Scraping_Result
31/01/2020,HÔTEL DE TOURISME,3,THE ORIGINALS CITY HOTEL PARAY LE MONIAL,Zone d'Activité Commerciale du champ bossu,71600.0,PARAY-LE-MONIAL,https://www.theoriginalshotels.com/hotels/paray-le-monial,60.0,30.0,h7111@theoriginalshotels.com,seminaire@theoriginalshotels.com,UNK,'0385819171,,OK,Success
04/02/2020,HÔTEL DE TOURISME,3,HÔTEL CAMPANILE ÉPINAY-SUR-ORGE,Rue du grand vaux,91360.0,ÉPINAY-SUR-ORGE,https://www.campanile.com/fr/hotels/campanile-epinay-sur-orge,129.0,58.0,,,UNK,,,Unavailable,Does Not Exist
11/02/2020,HÔTEL DE TOURISME,3,HÔTEL DU CHÂTEAU,17-19,77300.0,FONTAINEBLEAU,http://www.campanile-fontainebleau.fr/fr/mentions-legales,141.0,70.0,,,FR,,,Unavailable,Does Not Exist
14/02/2020,HÔTEL DE TOURISME,4,HÔTEL LE CHÂTEAU DE LA TOUR,Chemin du château de la tour,60270.0,GOUVIEUX,https://www.lechateaudelatour.fr/fr/,96.0,47.0,contact@lechateaudelatour.fr,,FR,'0344623838,,OK,Success
17/02/2020,HÔTEL DE TOURISME,4,HÔTEL LE LAPIN BLANC,41 boulevard saint-michel,75005.0,PARIS,https://hotel-lapin-blanc.com/fr,65.0,30.0,,,UNK,,,Unavailable,Does Not Exist
24/02/2020,HÔTEL DE TOURISME,3,CHENAL HÔTEL,63 boulevard du Général de Gaulle,60000.0,BEAUVAIS,http://hotel-chenal-beauvais.fr/,59.0,28.0,contact@chenalhotel.fr,,FR,'0344060460,,OK,Success
30/06/2020,HÔTEL DE TOURISME,3,HÔTEL DES ARTS,1 Bis Rue Cantegril,31000.0,TOULOUSE,http://www.hoteldesartstoulouse.fr,19.0,11.0,,,FR,'0561233621,,OK,Success
30/06/2020,HÔTEL DE TOURISME,3,HÔTEL LA CLOSERAIE,14 rue Porte Berry,45600.0,SULLY-SUR-LOIRE,http://www.hotel-la-closeraie.com,26.0,11.0,hotellacloseraie@orange.fr,,UNK,'0238051090,,OK,Success
30/06/2020,HÔTEL DE TOURISME,3,HÔTEL PAVILLON FANI,53 Avenue Voltaire,63300.0,THIERS,www.villagefani.com,16.0,8.0,info@villagefani.com,,UNK,'0471230201,'0473947688,OK,Success
30/06/2020,HÔTEL DE TOURISME,3,HÔTEL VILLA FANI,101 avenue des etats unis,63300.0,THIERS,https://www.villagefani.com,10.0,5.0,info@villagefani.com,,UNK,'0471230201,'0473947688,OK,Success
01/07/2020,HÔTEL DE TOURISME,3,HÔTEL LE DOMAINE DES PIERRES DORÉES,755 route des grandes planches,69620.0,TERNAND,https://www.villagefani.com/domaine-pierres-dorees.php,22.0,11.0,info@villagefani.com,,UNK,'0471230201,'0473947688,OK,Success
07/07/2020,HÔTEL DE TOURISME,3,HÔTEL ESTELOU,297 avenue de la Gare,30250.0,SOMMIÈRES,www.hotelestelou.com,46.0,23.0,customerclaim@hotelestelou.com,booking@hotelestelou.com,FR,'+33466531104,'0466531104,OK,Success
15/07/2020,CAMPING,3,CAMPING LE RELAIS DES HAUTES-CÔTES,6 impasse du château d'eau,21220.0,CHAMBOEUF,http://camping-chamboeuf.com,300.0,,molinaro@camping-chamboeuf.com,,UNK,'0380585013,'03805850133,OK,Success
17/07/2020,RÉSIDENCE DE TOURISME,3,RÉSIDENCE LE CLOS VANOISE,Rue Saint Etienne,73480.0,BESSANS,http://www.montagneimmo.com/fr/residence/le-clos-vanoise,208.0,,rgpd@montagneimmo.com,,FR,'+33479059522,'0479058214; '0479059000; '0479059522,OK,Success
03/08/2020,CAMPING,5,CAMPING LE TROPICANA,CHEMIN DES BOSSES,85160.0,SAINT-JEAN-DE-MONTS,http://www.le-tropicana.com,1980.0,,,,UNK,'0251586298,,OK,Success
03/08/2020,RÉSIDENCE DE TOURISME,4,RÉSIDENCE LES CHALETS DE LA MADELEINE,Station 1650,73130.0,SAINT FRANÇOIS LONGCHAMP,https://parcmadeleine.com/fr/,140.0,,,,UNK,,,OK,No Contacts Found
13/08/2020,HÔTEL DE TOURISME,4,HÔTEL LE BOIS D'IMBERT,ROUTE DE LACAVE,46500.0,ROCAMADOUR,leboisdimbert.com,128.0,59.0,lbdi@3vhotels.com,,FR,'+33581314040,,OK,Success
07/09/2020,CAMPING,3,CAMPING LA PLAGE,LE COURAU,30630.0,SAINT-ANDRÉ-DE-ROQUEPERTUIS,https://www.campinglaplage-gard.com,240.0,,,,FR,'+33685642517,'+33466509729,OK,Success
07/09/2020,CAMPING,3,CAMPING LA PLAGE ARGELES,avenue Général De Gaulle,66700.0,ARGELÈS-SUR-MER,www.laplage-argeles.fr,750.0,,contact@laplage-argeles.fr,,FR,'+33468811217,,OK,Success
07/09/2020,HÔTEL DE TOURISME,3,HOTEL DU VERDON,les croues,4370.0,BEAUVEZER,hotelduverdon.fr,18.0,8.0,hotelduverdon@orange.fr,,FR,'+33637934888,'0492834444,OK,Success
10/09/2020,CAMPING,5,CAMPING LUBÉRON PARC,Avenue Du Bois,13350.0,CHARLEVAL,http://www.campingluberonparc.fr/fr/accueil/,651.0,,,,FR,,,Unavailable,Does Not Exist
16/09/2020,CAMPING,3,CAMPING D'IBARRON,quartier ibarron,64310.0,SAINT-PÉE-SUR-NIVELLE,https://www.camping-ibarron.com/,600.0,,ibarron@natureetresidenceloisirs.com,,FR,'+33559541043,,OK,Success
16/09/2020,HÔTEL DE TOURISME,3,HOSTELLERIE SAINT VINCENT,23 Rue du Général De Gaulle,21700.0,NUITS-SAINT-GEORGES,http://www.hostellerie-st-vincent.com,52.0,23.0,info@hostellerie-st-vincent.com,,FR,'+33380611491,,OK,Success
24/09/2020,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT LA TOUR ROMAINE,7 IMPASSE HUTMATT,,,,,,,,,,,Unavailable,No URL
28/09/2020,HÔTEL DE TOURISME,3,HOSTELLERIE DES CLOS,18 rue Jules Rathier,89800.0,CHABLIS,https://www.hostellerie-des-clos.fr/,83.0,36.0,contact@hostellerie-des-clos.fr,,FR,'+3386421063,,OK,Success
02/10/2020,CAMPING,3,CAMPING L'ORÉE DE PROVENCE,Domaine le Romegas,26170.0,BUIS-LES-BARONNIES,www.loree-de-provence.com,400.0,,info@loree-de-provence.com,,FR,'+33475281078,'+33668662875,OK,Success
07/10/2020,HÔTEL DE TOURISME,4,HÔTEL LA FERME CHAPOUTON,200 route de Montelimar,26230.0,GRIGNAN,https://chapouton.com/,20.0,9.0,info@clairplume.com,,FR,'+33475000101,,OK,Success
07/10/2020,HÔTEL DE TOURISME,3,HÔTEL LE RELAIS DE LA VALLÉE,41 rue principale,25110.0,HYÈVRE-PAROISSE,http://www.relaisdelavallee.com/,40.0,20.0,,,UNK,,,Unavailable,Connection Failed
07/10/2020,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT LA CIGOGNE,4 place du marché,68140.0,MUNSTER,https://cigogne-munster.fr/,36.0,16.0,contact@cigogne-munster.fr,,FR,'0389773227,,OK,Success
12/10/2020,HÔTEL DE TOURISME,3,HÔTEL BERLIOZ,14 rue Henner,68300.0,SAINT-LOUIS,https://hotelberlioz.com/,32.0,20.0,info@hotelberlioz.com,,UNK,'0389697444,,OK,Success
12/10/2020,HÔTEL DE TOURISME,3,HÔTEL LES PRÉS D'ONDINE,5 route de Baldenheim,67600.0,SÉLESTAT,http://www.presdondine.com,24.0,12.0,message@presdondine.com,,FR,'+33388580460,,OK,Success
20/10/2020,RÉSIDENCE DE TOURISME,3,RÉSIDENCE ALLÉE DES DUNES,224 chemin de la Montagne,40440.0,ONDRES,https://www.vacanceole.com/lallee-des-dunes-ondres/,738.0,,,,UNK,,,Unavailable,Does Not Exist
21/10/2020,HÔTEL DE TOURISME,3,SOBLUE HÔTEL,600 avenue Georges Bizet,6160.0,ANTIBES,https://www.sobluehotel.com/,390.0,95.0,privacy@sobluehotel.com,,UNK,,,OK,Success
22/10/2020,HÔTEL DE TOURISME,4,HÔTEL NOVOTEL PAU PYRÉNÉES,Route Nationale 117,64230.0,LESCAR,http://www.accorhotels.com/fr/hotel-0421-novotel-pau-lescar/index.shtml,174.0,87.0,h0421@accor.com,,FR,'+33559130404,,OK,Success
27/10/2020,RÉSIDENCE DE TOURISME,4,RÉSIDENCE SANTA APOLONIA,2 boulevard Bonnier,97436.0,SAINT-LEU,https://www.residence-santa-apolonia.com/,410.0,,contact@residence-santa-apolonia.com,,FR-RE,'+262262830102,,OK,Success
29/10/2020,HÔTEL DE TOURISME,3,HÔTEL LES CRÉOLES,43 Avenue du Bourbon,97434.0,SAINT-GILLES-LES-BAINS,https://www.hotel-les-creoles.com/,112.0,42.0,resa@hotellescreoles.com,,FR-RE,'+262262265265,,OK,Success
30/10/2020,HÔTEL DE TOURISME,3,HÔTEL ÉMERAUDE,11 avenue Saramartel,6160,ANTIBES,https://www.emerauderesidence.com/?lang=fr,47.0,12.0,,,UNK,'0493610967,,OK,Success
30/10/2020,HÔTEL DE TOURISME,4,HÔTEL L'EUROPE,15 route de Neuf Brisach,68180,HORBOURG-WIHR,https://www.hotel-europe-colmar.com/fr/,285.0,120.0,,,UNK,,,Unavailable,Does Not Exist
03/11/2020,HÔTEL DE TOURISME,5,CHÂTEAU CORDEILLAN-BAGES,Route des Châteaux,33250,PAUILLAC,https://www.cordeillanbages.com/fr,60.0,28.0,contact@cordeillanbages.com,contact@jmcazes.com; patrice.curci@gmail.com,UNK,,,OK,Success
03/11/2020,HÔTEL DE TOURISME,3,HOSTELLERIE SAINT VINCENT,241 rue de Clermont,60000,BEAUVAIS,https://www.stvincentbeauvais.fr/,131.0,79.0,reservations@stvincentbeauvais.fr,reservation@stvincentbeauvais.fr,FR,'0344054999,,OK,Success
12/11/2020,HÔTEL DE TOURISME,3,HÔTEL EDELWEISS,32 avenue de la république,5100,BRIANÇON,http://www.hotel-edelweiss-briancon.fr/,52.0,20.0,,,FR,'+33492210294,,OK,Success
18/11/2020,HÔTEL DE TOURISME,3,HÔTEL IBIS STYLES ANCENIS CENTRE,119 boulevard du Docteur Moutel,44150,ANCENIS-SAINT-GÉRÉON,https://all.accor.com/hotel/B5Z9/index.fr.shtml,132.0,56.0,hb5z9@accor.com,,FR,'+33240833030,,OK,Success
23/11/2020,HÔTEL DE TOURISME,4,HÔTEL HELGON,8 rue Massabielle,65100,LOURDES,https://www.helgonhotel.com/,154.0,74.0,contact@helgonhotel.com,,UNK,'0562942497,,OK,Success
23/11/2020,HÔTEL DE TOURISME,3,HÔTEL HOLIDAY INN EXPRESS MARSEILLE SAINT CHARLES,15 boulevard Maurice Bourdet,13001,MARSEILLE 1ER ARRONDISSEMENT,https://www.ihg.com/holidayinnexpress/hotels/fr/fr/marseille/mrssc/hoteldetail,344.0,120.0,,,UNK,,,Unavailable,Does Not Exist
24/11/2020,HÔTEL DE TOURISME,3,HÔTEL KYRIAD FONTENAY-TRESIGNY,114 rue Bertaux,77610,FONTENAY-TRÉSIGNY,https://fontenay-tresigny.kyriad.com/fr-fr/,96.0,48.0,,,UNK,,,Unavailable,Does Not Exist
03/12/2020,HÔTEL DE TOURISME,3,HÔTEL GALLA PLACIDIA,21 rue des Colonnes,11100,NARBONNE,https://www.galla-placidia.fr/,10.0,5.0,contact@galla-placidia.fr,,FR,'+33649473047,,OK,Success
10/12/2020,CAMPING,3,CAMPING A MARINA,Route Nationale 197,20220,AREGNO,https://www.marinacamping.fr/,462.0,,info@marinacamping.fr,,FR,'+33495607541,,OK,Success
10/12/2020,HÔTEL DE TOURISME,4,HÔTEL LE DOMAINE DE PERETTI DELLA ROCCA,Lieu-dit u Prunu,20114,FIGARI,https://www.deperettidellarocca.com/,22.0,8.0,contact@domainedeperettidellarocca.com,assistance@leseditionscorses.com,UNK,'0495729681,,OK,Success
10/12/2020,RÉSIDENCE DE TOURISME,3,RÉSIDENCE LE MAQUIS PLAGE,Lieu Dit L'Avidanella,20230,POGGIO-MEZZANA,https://maquis-plage-corse.com/,74.0,,,,UNK,,,Unavailable,Does Not Exist
11/12/2020,HÔTEL DE TOURISME,4,BEST WESTERN PREMIER HÔTEL VIEUX PORT,252 quai François Mitterand,13600,LA CIOTAT,https://www.bestwestern-laciotat.com/,140.0,63.0,contact@bestwestern-laciotat.com,,FR,'+33442040000,,OK,Success
11/12/2020,HÔTEL DE TOURISME,3,HÔTEL L'ORÉE DU BOIS,1 lieu-dit l'Orée du Bois,88800,NORROY,https://www.loreeduboisvittel.fr/fr/,106.0,52.0,info@loreeduboisvittel.fr,,FR,'+33329088888,,OK,Success
11/12/2020,HÔTEL DE TOURISME,4,HÔTEL LA PÉROUSE,3 allée Duquesne,44000,NANTES,https://www.hotel-laperouse.fr/fr/,95.0,46.0,information@hotel-laperouse.fr,,FR,'+33240897500,,OK,Success
11/12/2020,HÔTEL DE TOURISME,3,HÔTEL LE CARRE D'ALETHUIS,4 rue Paul Bertois,7800,CHARMES-SUR-RHÔNE,http://www.lecarredalethius.com,19.0,9.0,lecarredalethius@orange.fr,,FR,'+33475783052,,OK,Success
11/12/2020,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT AU FLORIDOR,54 Rue du Floridor,68800,THANN,https://www.hotel-floridor-thann.com/,32.0,16.0,hotel-floridor@wanadoo.fr,,FR,'+33389370952,,OK,Success
16/12/2020,HÔTEL DE TOURISME,3,AROME HÔTEL NICE,65 rue de la Buffa,6000,NICE,http://www.aromehotelnice.com/,20.0,11.0,info@aromehotelnice.com,,FR,'+33493889946,,OK,Success
16/12/2020,HÔTEL DE TOURISME,3,HÔTEL DU COLLÈGE DE FRANCE,7 rue Thénard,75005,PARIS,http://www.hotelcdf.com/,58.0,29.0,hotelcf@gmail.com,,FR,'+33658537604,,OK,Success
21/12/2020,HÔTEL DE TOURISME,3,HÔTEL AKA LODGE,2 rue du 24 Avril 1915,69330,MEYZIEU,https://aka-lodge.fr/,80.0,40.0,contact@aka-lodge.fr,,FR,'0437422268,,OK,Success
21/12/2020,HÔTEL DE TOURISME,3,HÔTEL LE DOMAINE LE CLOS DES FONTAINES,191 rue des Fontaines,76480,JUMIÈGES,http://www.leclosdesfontaines.com,38.0,19.0,hotel@leclosdesfontaines.com,,FR,'+33235339696,,OK,Success
23/12/2020,CAMPING,4,CAMPING BOIS SIMONET,2771 route de Valgorge,7260,JOYEUSE,https://camping-4-etoiles-ardeche.com,310.0,,contact@bois-simonet.com,,FR,'+33475395860,,OK,Success
24/12/2020,HÔTEL DE TOURISME,4,DALI HÔTEL,18 boulevard Jean Bourrat,66000,PERPIGNAN,https://dalihotel.fr,230.0,115.0,dalihotel@dalihotel.fr,,FR,'+33468614210,,OK,Success
08/01/2021,HÔTEL DE TOURISME,4,HÔTEL LA CASA PAÏRAL,Impasse des Palmiers,66190,COLLIOURE,https://www.hotel-casa-pairal.com/fr,66.0,27.0,contact@hotel-casa-pairal.com,,FR,'+33468820581,,OK,Success
15/01/2021,HÔTEL DE TOURISME,3,BRIT HÔTEL CANCALE ALGHOTEL,61 Avenue du Général De Gaulle,35260,CANCALE,https://hotel-cancale-alghotel.brithotel.fr/,62.0,30.0,alghotel@brithotel.fr,,FR,'0299895000,,OK,Success
15/01/2021,HÔTEL DE TOURISME,3,HÔTEL B&B NICE AÉROPORT ARENAS,108 boulevard René Cassin,6200,NICE,https://www.hotel-bb.com/fr/hotel/nice-aeroport-arenas,351.0,167.0,fra-groupnotification@hotelbb.com,groupnotification@hotelbb.com,UNK,'0892233663,,OK,Success
15/01/2021,RÉSIDENCE DE TOURISME,3,RÉSIDENCE RESIDHOME NANTERRE LA DÉFENSE,521 boulevard des Provinces Françaises,92000,NANTERRE,https://www.residhome.com/residence-hoteliere-aparthotel-nanterre-249.html,222.0,,webmaster@residhome.com,consommation@cmap.fr; mediationclientapparthotel@reside-etudes.fr,UNK,'0825363432,'+33147258181,OK,Success
15/01/2021,RÉSIDENCE DE TOURISME,3,ZENITUDE ROISSY VILLAGE,4 avenue de Montmorency,95700,ROISSY-EN-FRANCE,https://www.zenitude-hotel-residences.com/residences/roissy-village/,704.0,,rrv0101@zenitude-groupe.com,,FR,'+33139337272,,OK,Success
20/01/2021,HÔTEL DE TOURISME,4,HÔTEL LA MAISON DES CONSULS,6 place du Maréchal Leclerc,9500,MIREPOIX,http://www.maisondesconsuls.com/,19.0,8.0,,,UNK,'0561688181,'0561686264,OK,Success
22/01/2021,HÔTEL DE TOURISME,3,HÔTEL DES 4 OURS,Station de Piau Engaly,65170,ARAGNOUET,https://hotel-4ours-piau.com/,127.0,51.0,contact@otelico.com,danielle@otelico.com,UNK,'0562407800,,OK,Success
28/01/2021,HÔTEL DE TOURISME,3,HÔTEL AUBERGADE,20 place des Déportés,88400,GÉRARDMER,https://www.laubergade-gerardmer.fr/,47.0,18.0,contact@hrvprod.com,,FR,'+33760937195,'0329630241,OK,Success
28/01/2021,HÔTEL DE TOURISME,3,HÔTEL SOUS LES FIGUIERS,3 avenue Gabriel Saint René Taillandier,13210,SAINT-RÉMY-DE-PROVENCE,https://hotelsouslesfiguiers.com/,31.0,14.0,bonjour@hotelsouslesfiguiers.com,,UNK,'0432601540,,OK,Success
29/01/2021,HÔTEL DE TOURISME,3,HÔTEL CAMPANILE PARIS OUEST CHAVILLE,885 avenue Roger Salengro,92370,CHAVILLE,https://chaville.campanile.com/fr-fr/,292.0,128.0,,,UNK,,,Unavailable,Does Not Exist
29/01/2021,HÔTEL DE TOURISME,4,HÔTEL MAISON BARBÈS,4 rue Bervic,75018,PARIS 18E ARRONDISSEMENT,https://www.maison-barbes.com/fr,59.0,29.0,,,UNK,,,Unavailable,Does Not Exist
04/02/2021,HÔTEL DE TOURISME,4,HÔTEL NOVOTEL NICE AÉROPORT ARÉNAS,455 Promenade des Anglais,6300,NICE,https://all.accor.com/hotel/0478/index.fr.shtml,352.0,131.0,h0478@accor.com,,FR,'+33493212250,,OK,Success
05/02/2021,HÔTEL DE TOURISME,3,HÔTEL SAINT CLAUDE,42 place Louis Daudre,80200,PÉRONNE,http://www.hotelsaintclaude.com/,74.0,40.0,,,UNK,'0322791057,'0322794949,OK,Success
05/02/2021,HÔTEL DE TOURISME,3,NOEMYS BRIVE,7 Avenue Cyprien Faurie,19100,BRIVE-LA-GAILLARDE,https://noemys.fr/hotels/hotel/noemys-brive/,85.0,40.0,,,FR,'0442973900,'0555864500,OK,Success
05/02/2021,PARC RÉSIDENTIEL DE LOISIRS,3,PRL CHALETS DE L'EAU VERTE,Le Jagounet,15270,CHAMPS-SUR-TARENTAINE-MARCHAL,http://www.auvergne-chalets.fr/,45.0,,,,FR,'+33471787878,,OK,Success
05/02/2021,PARC RÉSIDENTIEL DE LOISIRS,3,PRL LE HAMEAU DU LAC,La guérivière,44580,BOURGNEUF-EN-RETZ,https://www.hameaudulac.fr/,200.0,,,,FR,,,Unavailable,Connection Failed
15/02/2021,HÔTEL DE TOURISME,3,HÔTEL ASTON,12 cité Bergère,75009,PARIS 9E ARRONDISSEMENT,http://aston-hotel-paris.com/fr/index.html,67.0,36.0,,,UNK,,,Unavailable,Does Not Exist
15/02/2021,HÔTEL DE TOURISME,3,HÔTEL DE L'EST,9 rue du Faubourg Saint Martin,89600,SAINT-FLORENTIN,https://www.hotelest.fr/,29.0,15.0,,,FR,,,OK,No Contacts Found
15/02/2021,HÔTEL DE TOURISME,3,HÔTEL KYRIAD PERONNE,142 route de Paris,80200,PÉRONNE,https://peronne.kyriad.com/fr-fr/,86.0,43.0,,,UNK,,,Unavailable,Does Not Exist
15/02/2021,HÔTEL DE TOURISME,4,HOTEL MARIELLE,327 rue du Soleil,73440,SAINT-MARTIN-DE-BELLEVILLE,https://hotelmarielle.com/,229.0,83.0,reservation@hotelmarielle.com,,FR,'+33458240080,,OK,Success
16/02/2021,HÔTEL DE TOURISME,3,HÔTEL B&B SAINT DENIS PORTE DE PARIS,14 avenue docteur Lamaze,93200,SAINT-DENIS,https://www.hotel-bb.com/fr/hotel/saint-denis-porte-de-paris,272.0,134.0,fra-groupnotification@hotelbb.com,groupnotification@hotelbb.com,UNK,'0892233658,,OK,Success
16/02/2021,HÔTEL DE TOURISME,3,HÔTEL LE PASSE MURAILLE,16/18 place du docteur Emile Parrain,23300,LA SOUTERRAINE,https://www.le-passe-muraille.com/,28.0,9.0,resto.passemuraille@orange.fr,,UNK,'0555632934,,OK,Success
16/02/2021,HÔTEL DE TOURISME,3,HÔTEL TY GWENN,25 avenue de la Grande Dune,44500,LA BAULE-ESCOUBLAC,https://hoteltygwenn.fr/,28.0,14.0,contact@hoteltygwenn.fr,,FR,'+33240603707,,OK,Success
16/02/2021,RÉSIDENCE DE TOURISME,4,RÉSIDENCE NEMEA APPART'HOTEL PARIS LEVALLOIS,43 rue Raspail,92300,LEVALLOIS-PERRET,https://www.nemea-appart-hotel.com/residence/france/ile-de-france/hauts-de-seine/levallois-perret/residence-paris-levallois-221.html,84.0,,,,UNK,,,OK,No Contacts Found
17/02/2021,HÔTEL DE TOURISME,3,HÔTEL LE DOMAINE DE VALAUDRAN,Route de Romorantin,41300,SALBRIS,https://www.hotelvalaudran.com/,66.0,31.0,info@hotelvalaudran.com,,FR,'+33254972000,,OK,Success
17/02/2021,HÔTEL DE TOURISME,3,HÔTEL MAISON BARBILLON,10 Rue Louis Barbillon,38000,GRENOBLE,https://maisonbarbillon.com/,101.0,48.0,reservation@maisonbarbillon.com,,FR,'+33458005243,,OK,Success
17/02/2021,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT LA PLAGE,Route de Napoléon,13230,PORT-SAINT-LOUIS-DU-RHÔNE,https://hotelrestaurantlaplage.fr/,24.0,10.0,,,FR,,,Unavailable,Does Not Exist
18/02/2021,HÔTEL DE TOURISME,5,HÔTEL AIRELLES VAL D'ISÈRE,Avenue des téléphériques,73150,VAL-D'ISÈRE,https://airelles.com/fr/destination/val-d-isere-hotel,106.0,41.0,info@airelles.com,recrutement@airelles.com; reservation.valdisere@airelles.com,FR,'+33479003838,,OK,Success
19/02/2021,HÔTEL DE TOURISME,4,HÔTEL DE CASTIGLIONE,38-40 rue du faubourg Saint-Honoré,75008,PARIS 8E ARRONDISSEMENT,https://www.castiglionehotel.com/,198.0,99.0,resa@castiglionehotel.com,,FR,'+33144942525,'+33680461677,OK,Success
22/02/2021,RÉSIDENCE DE TOURISME,3,RÉSIDENCE ZENITUDE AIX-EN-PROVENCE - LE THOLONET,445 allée François Aubrun,13100,LE THOLONET,https://www.zenitude-hotel-residences.com/fr_FR/residence/le-tholonet/161,283.0,,apt0101@zenitude-groupe.com,,FR,'+33413419330,,OK,Success
23/02/2021,HÔTEL DE TOURISME,4,ATLANTIC HÔTEL,5 promenade Georges Godet,85100,LES SABLES-D'OLONNE,https://www.atlantichotel.fr/,68.0,34.0,info@atlantichotel.fr,,FR,'+33251953771,,OK,Success
23/02/2021,HÔTEL DE TOURISME,3,HOSTELLERIE LE CHEVAL NOIR,47 avenue Jean Jaurès,77250,MORET-SUR-LOING,https://www.chevalnoir.fr/,25.0,11.0,,,FR,,,Unavailable,Does Not Exist
23/02/2021,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT LA MONTAGNE FLEURIE,21 rue Ramond,65120,BARÈGES,http://www.montagnefleurie.fr/,35.0,14.0,,,FR,,,Unavailable,Connection Failed
24/02/2021,HÔTEL DE TOURISME,3,HÔTEL B&B LYON EUREXPO CHASSIEU,2 rue Augustin Fresnel,69680,CHASSIEU,https://www.hotel-bb.com/fr/hotel/lyon-eurexpo-chassieu,166.0,70.0,groupnotification@hotelbb.com,fra-groupnotification@hotelbb.com,UNK,'0892702410,,OK,Success
